user_id,Q1,Q2,Total Traffic(MB),Downlink Throughput(Kbps),Uplink Throughput(Kbps),Downlink TCP Retransmission Rate(%),Video Streaming Download Throughput(Kbps),Video Streaming xKB Start Delay(ms),Web Page Download Throughput(Kbps),Web Average TCP RTT(ms)
787,10,,132.99235,510.51,154.23,1.03,10098.37,1033,1551.07,152
788,5,,867.28384,2542.35,141.9,0.26,8195.66,1189,3596.07,154
789,1,3,839.72918,6011.11,163.86,0.64,11643.38,1268,3147.77,117
790,8,2,405.69635,3802.7,96.46,1.42,4952.17,3722,4065.09,174
791,10,,833.69768,2344.43,234.14,0.58,9158.85,1564,3145.91,53
792,10,,664.15781,1566.07,153.85,1.11,3085.8,2758,1647.89,134
793,10,,129.89711,2424.84,123.14,2.11,14319.48,2414,2222.66,59
794,9,,804.1918,2293.35,27.22,1.89,2427.49,2286,1762.56,192
795,9,,491.87448,1470.01,180.03,1.5,2309.14,1841,1565.75,169
796,1,,335.66986,907.5,325.17,0.53,7740.85,1569,2979.89,114
797,10,,621.64458,7225.69,185.34,0.3,7793.97,996,3674.32,60
798,9,,109.35178,1881.47,236.36,0.4,9838.46,1348,2197.17,97
799,4,2,116.7708,236.3,237.14,0.67,1246.69,2168,1394.18,152
800,10,,142.14476,2384.19,208.68,0.87,14282.68,1185,2706.54,160
801,10,,784.22803,531.49,50.94,1.28,1838.1,2491,880.69,201
802,2,,467.02293,347.18,62.39,2.27,3015.46,2019,975.02,85
803,1,,699.27465,5191.7,143.63,0.41,10095,1192,1960.13,63
804,7,4,422.64458,1373.46,156.44,2.73,1954.46,2048,693.54,351
805,2,"1, 3, 4",325.77928,650.65,88.13,0.13,12107.75,1376,2781.72,55
806,10,,366.49389,3241.81,631.89,0.4,7067.23,1435,1648.61,132
807,10,,497.94291,718.8,59,5.3,1340.31,3091,840.45,114
808,10,,513.42367,317.21,38.47,1.66,2099.68,1549,878.62,644
809,8,,301.37757,682.63,215.2,1.79,5090.99,2110,1908.33,209
810,3,"3, 7",299.58615,3992.4,496.82,0.91,5467.52,2955,2032.48,89
811,3,,287.63077,1433.2,308.73,1.54,10166.34,1585,2220.24,377
812,10,,127.41013,551.2,77.9,2.73,3909.07,1768,4210.47,777
813,4,,415.56883,2907.43,375.19,0.8,7576.83,1094,1851.29,50
814,7,"1, 3, 4",798.19103,5224.25,129.24,2.18,7647.09,2038,2890.33,125
815,10,,368.56099,486.92,85.72,1.2,996.31,1441,1525.66,301
816,1,"1, 3, 4, 5",220.18176,1737.79,1064.79,0.23,13361.94,846,4941.6,45
817,3,4,466.11422,1705.11,100.43,1.72,5650.75,1987,1664.53,55
818,10,,595.31625,6502.79,93.72,0.33,12132.78,1148,2648.59,91
819,3,"1, 5",114.44455,289.2,48.77,1.39,12624.25,1181,166.99,116
820,10,,547.68519,4272.03,104.25,1.81,4943.95,1468,2123.8,289
821,1,1,384.73158,798.26,399.85,1.27,2523.29,1609,1318.96,92
822,3,4,800.08137,904.53,147.34,0.83,4895.42,2020,3230.13,82
823,7,,520.12445,3503.48,62.92,2.39,5767.26,1802,347.61,98
824,5,4,212.64818,602.73,116.22,1.2,3355.79,2427,1610.47,288
825,7,1,185.18777,947.61,96.91,5.69,2798.67,1181,511.24,229
826,1,,744.21897,1324.47,74.54,1.07,7351.95,1510,55.25,133
827,4,3,216.17856,156.93,76.51,1.23,791.48,2050,724.07,405
828,10,,129.28721,3872.58,77.86,0.83,6944.79,1385,1196.25,66
829,9,,303.8984,3802.33,231.95,0.45,4916.26,1332,2214.91,243
830,3,"1, 3, 4, 7",796.64018,1531.18,188.82,0.39,5009.16,1680,1541.73,102
831,10,,161.1472,1202.05,165.38,0.45,10335.74,1112,2403.47,141
832,6,,792.5927,1315.93,102.77,0.16,6853.84,1480,1035.97,338
833,10,,241.33117,334.62,136.82,1.14,1980.96,998,1698.17,113
834,2,4,519.4543,5648.36,170.84,2.56,9485.07,1331,3572.41,94
835,"Чем даль ше,тем лучше.Спасибо за ваш труд.Оценка 10 !",,886.05369,1115.41,937.26,1.2,4439.31,1930,753.67,109
836,7,,154.69035,1108.92,193.72,1.62,9896.53,1329,240.01,138
837,1,1,122.50055,2326.17,52.01,0.47,3821.6,1222,1514.47,145
838,5,"4, 5",280.48658,736.63,101.61,1.28,3263.33,1615,1336.13,143
839,10,,118.54533,1872.64,89.12,2.55,2524.05,2362,1326.28,287
840,1,,814.26616,386.13,24.27,1.02,14165.7,1413,1624.19,178
841,10,,313.06899,3114.7,343.38,1.02,2693.11,5282,2974.42,55
842,2,,201.02279,1666.05,275.59,1.77,5633.8,3648,1060.68,277
843,5,,196.76498,533.08,258.18,4.31,11914.54,1382,2175,189
844,9,,177.51462,1323.17,37.69,1.39,2591.79,2247,619.17,275
845,7,"1, 3",776.94869,2645.02,373.15,1.43,4699.86,2311,1792.11,108
846,9,,284.23809,784.46,93.85,1.03,1583.95,1745,1037.31,93
847,10,,565.93513,1487.88,90.38,2.91,3938.81,2092,1823.21,133
848,9,,207.69257,479.59,46,4.33,596.61,2796,952.85,191
849,1,1,103.84193,1584.06,113.02,2.31,2928.1,5424,1598.02,174
850,1,,173.9405,760.99,27.42,5.13,2564.64,687,560.46,329
851,6,"1, 4",328.48677,268.42,128.79,1.85,2990.57,3210,786.54,186
852,1,1,604.73944,1466.08,715.21,1.44,4392.67,1669,2265.27,57
853,3,,139.69821,258.65,45.79,4.03,2142.77,3257,1638.56,149
854,8,4,567.98407,3707.45,229.84,0.54,5455.73,3203,1451.19,112
855,3,"1, 3",584.25876,8076.79,804.96,0.37,16245.46,1122,3293.4,68
856,1,,321.39835,991.27,171.13,0.87,3835.16,1698,485.8,122
857,5,"1, 3",467.74767,1498.69,423.64,0.76,6395.31,1400,3637.11,52
858,10,,590.23964,1521.09,124.17,2.3,4437.65,1409,2521.46,91
859,9,,457.17151,1372.59,133.05,0.19,14757.5,1104,2941.04,203
860,10,,141.75929,8807.23,240.86,0.12,24505.78,767,6447.24,59
861,9,,365.16408,3823.91,132.72,1.53,5737.88,1275,3060.16,89
862,5,"1, 3",102.56188,102.05,76.69,1.17,749.14,11112,1348.88,66
863,2,,171.34743,84.23,21.46,2.57,2719.12,1003,733.47,354
864,3,"3, 4, 5, 7",437.77886,5295.3,32.63,2.48,15572.23,1247,2034.05,120
865,10,,746.39919,9548.45,127.19,1.04,12273.03,1122,2302.96,44
866,9,,856.92619,1551.07,19.68,0.92,1716.79,2479,1407.83,274
867,1,"1, 3, 4",346.70299,1619.43,71.9,0.91,2260.27,2110,4825.51,65
868,10,,419.5959,363.25,65.94,0.37,531.78,4741,2410.97,165
869,1,"1, 2, 3",757.48718,2678.7,286.75,0.77,4527.39,2683,638.26,82
870,3,,706.98227,925.08,97.75,0.49,6164.89,1138,867.13,86
871,4,,174.25648,973.85,83.37,2.01,3566.42,1522,798.04,95
872,5,"1, 3",716.02075,820.26,201.06,1.47,2785.53,1862,2745.58,128
873,10,,388.15129,1559.91,173.34,0.57,7060.95,1133,1552.23,124
874,8,,345.80192,2500.23,85.21,1.87,4081.56,1678,1814.66,91
875,1,"1, 2, 3, 4, 5",315.5149,439.49,72.96,1.33,1242.48,2436,973.65,269
876,10,,819.55686,3630.87,121.13,0.96,4418.21,1810,2025.1,65
877,8,3,513.79418,3531.7,246.46,1.16,8088.64,1450,2656.33,72
878,1,7,421.5146,1310.42,679.22,2.45,4753.39,4921,11058.24,67
879,8,"1, 3",553.42463,1555.18,411.66,1.18,6833.44,1347,1244.99,129
880,10,,164.33562,862.13,100.46,0.44,6903.55,1047,2796.6,63
881,3,"1, 4",756.76013,1562.68,85.63,0.84,2232.9,9037,802.81,82
882,4,3,712.18144,1502.22,60.97,2.09,5241.95,1340,1739.19,68
883,7,"1, 4",463.60508,1712.47,50.52,1.63,2838.53,2119,981.83,143
884,10,,120.7993,1536.96,319.31,0.44,9735.92,1230,3411.95,335
885,8,,203.53513,7611.51,105.67,0.7,10010.52,1004,3831.49,62
886,4,"3, 4, 5",653.44981,2264.87,145.17,1.42,3959.33,2425,1721.48,135
887,4,"3, 4",128.43556,346.19,102.8,6.21,541.99,4668,320.31,253
888,7,,561.93358,1855.06,365.92,2.14,3347.41,1704,2411.21,111
889,8,"3, 4, 5",635.30735,1787.31,138.42,1.21,4754.2,1695,1483.18,113
890,10,,340.75691,1954.17,233.69,0.28,13428.99,1207,5110.13,178
891,7,,164.34988,10958.47,82.1,1.74,25871.54,827,3512.33,64
892,8,1,653.99646,717.57,115.04,1.66,3187.05,3437,1864.16,59
893,2,3,732.04895,538.08,55.28,7.21,2406.33,1724,999.96,505
894,5,4,550.1862,1018.88,162.28,0.55,11725.57,1073,1996.62,82
895,10,,108.30877,92.66,20.45,3.82,1585.19,2473,1751.89,302
896,6,3,544.1408,2087.95,100.99,3.55,0,2110,0,0
897,6,,600.95998,2824.47,240.85,0.95,9820.25,1278,2618.17,91
898,ОЦЕНКА-3/НЕВАЖНО/,,257.97201,620.42,43.65,2.1,1771.26,1791,2086.17,201
899,3,,588.7419,353.3,43.76,4.11,1467.92,3121,424.88,356
900,4,"1, 3",180.33773,3002.24,152.57,0.39,6899.82,1149,3044.35,187
901,7,,554.68964,1529.51,113.27,0.57,7907.12,2576,2539.61,208
902,1,"1, 3, 4",137.58764,46.89,22.38,6.16,155.52,10861,95.92,2411
903,3,,717.84957,1336.64,92.88,1.28,2592.7,2177,999.39,279
904,1,,140.96726,394.83,101.55,0.27,347.76,2427,4945.86,229
905,1,3,694.09947,7782.46,89.66,0.11,19547.47,1105,2065.1,121
906,2,"1, 3",670.26112,2147.18,68.33,2.59,2505.25,1954,1267.51,106
907,7,2,112.95189,13636.42,94.2,0.52,40767.4,896,2941.62,92
908,1,,173.3234,82.8,23.38,22.65,3277.37,4295,1220.87,72
909,10,,140.53775,655.68,80.95,2.3,2900.09,2629,1879.38,73
910,10,,323.80876,1377.92,45.73,2.18,2528.53,1417,971.92,305
911,6,,816.78409,1547.18,213.23,1.16,8184.24,1191,2746.2,48
912,7,,827.04844,2509.4,91.95,0.46,7478.11,1341,4407.22,113
913,6,,309.17185,1081.37,224.88,3.24,4358.53,1531,3204.76,151
914,3,4,480.10888,1028.95,147.77,0.7,1794.83,2565,1459.37,200
915,5,,790.11398,2664.55,230.22,0.84,9491.5,1243,2674.04,189
916,8,,230.375,4273.05,228.81,1.46,9365.32,1198,2928.37,51
917,9,,647.19787,487.06,60.44,1.68,763.52,4833,611.63,351
918,8,,587.52691,681.81,132.86,5.18,1209.14,1746,1362.84,271
919,1,,338.59334,1894.76,181.38,1.02,8726.35,1433,2698.22,259
920,2,3,757.65511,2654.76,132.95,0.32,4664.65,1699,1406.43,210
921,10,,106.84358,298.07,138.82,1.97,10630.64,785,4761.92,855
922,2,3,175.23682,937.53,115.35,1.07,4565.15,1011,3671.31,77
923,1,3,639.78157,1511.87,75.75,0.35,14423.98,1292,7957.61,59
924,8,,177.94844,1832.94,397.87,1.97,8408.8,6122,24468.31,53
925,10,,530.58049,7395.4,59.83,0.68,28886.7,870,2550.52,93
926,5,"1, 3",105.98419,1333.92,201.25,1.48,4881.83,1697,2267.01,71
927,1,1,240.35012,696.8,265.08,2.17,4576.39,1727,1276.06,98
928,1,,284.37917,15999.72,760.76,0.78,30122.12,698,5225.09,31
929,10,,296.32689,17393.56,538.05,0.06,20208.89,947,10497.87,36
930,1,1,423.73355,4518.53,217.38,2.43,4712.01,2767,1002.17,70
931,8,1,650.28731,4193.74,757.37,0.57,16125.09,1091,3887.08,82
932,6,,613.21985,4506.88,140.55,1.08,6236.4,1201,929,177
933,1,,444.13891,351.77,54.33,5.38,330.24,11615,322.36,83
934,10,,656.12749,578.68,1081.15,1.98,2015.37,1890,1165.18,161
935,1,"2, 3",137.74246,429.52,53.45,1.32,8032.57,775,2267.61,67
936,10,,767.52095,1304.74,107.86,1.46,3785.83,1679,2259.96,107
937,9,,144.2845,257.79,22.66,2.55,1531.15,1202,1014.22,221
938,10,,138.57597,3897.77,447.91,0.35,7892.07,1390,1660.37,63
939,3,4,349.78256,595.43,55.22,1.29,1797.65,2294,1096.61,66
940,8,,648.66688,385.8,46.36,0.82,8062.14,995,1133.83,199
941,5,"2, 3, 4",406.50774,5949.19,171.89,0.61,13296.4,1354,1453.16,124
942,10,,884.19353,2614.72,156.61,4.63,5997.35,1198,1201.78,93
943,10,,822.6008,9771.78,214.37,1.13,11039.09,1507,5333.6,42
944,6,1,774.24881,1693.54,208.3,0.83,10583.22,1463,2908.27,162
945,8,3,314.11757,734.87,110.92,2.12,7510.37,1456,2492.27,154
946,1,1,141.29901,3116.46,389.28,2.81,9764.16,1253,4499.89,56
947,8,"1, 3",275.25647,1824.07,52.82,0.96,3258.62,2434,5731.61,83
948,10,,452.92472,2736.44,45.37,1.73,7572.5,1277,4806.66,60
949,3,1,521.52135,2903.74,129.73,2.66,5530.38,1679,2231.97,122
950,7,"2, 4",626.22893,972.49,30.61,1.21,4303.65,2089,1960.91,243
951,8,3,155.04128,2560.88,91.87,3.4,4765.62,1894,2629.37,50
952,10,,342.16984,1669.78,104.09,0.83,9197.55,907,1761.53,52
953,7,4,661.16033,5763.74,254.8,0.98,23154.69,900,4994.76,102
954,7,4,154.70814,644.11,81.73,1.95,5152.24,1900,437.79,153
955,2,"1, 3",156.04964,508.68,50.18,0.41,6546.92,1257,1467.4,59
956,10,,562.77016,3393.69,285.69,2.41,4652.53,1246,3080.67,79
957,10,,124.73386,3352.93,81.39,0.26,21606.54,995,1230.49,98
958,2,"1, 2, 3",369.01779,325.16,333.73,0.57,3923.95,1338,2501.07,72
959,10,,231.29143,373.04,116.63,1.47,2480.83,1585,1192.43,198
960,3,7,605.1715,4075.03,103.33,0.58,3193.96,2841,1937.96,184
961,8,"1, 3",102.71886,4149.99,136.95,0.11,22590.47,701,10101.55,47
962,10,,227.19155,3258.16,175.31,4.23,6044.11,1438,3687.47,577
963,8,,668.89572,4102.82,390.29,0.48,8628.31,1206,3047.68,43
964,3,"1, 3",740.06353,703.44,333.03,4.36,1382.07,3418,838.17,209
965,4,"3, 4",649.03238,826.64,224.06,3.06,2315.2,2841,786.93,114
966,1,1,720.88861,5148.97,76.38,0.33,2150.16,2179,1368.04,132
967,7,6,404.79797,2715.65,51.88,0.67,3028.38,1681,1148.4,161
968,1,"1, 3",116.41548,38.59,29.67,0.41,4720.98,766,35603.97,69
969,10,,174.01867,413.28,62.6,1.83,3295.79,960,863.61,81
970,1,3,134.453,3925.68,65.63,0.75,10974.35,1089,2057.91,50
971,1,1,139.52943,438.69,99.14,0.82,457.56,3788,973.19,172
972,5,"3, 4",148.36721,631.33,48.22,5.46,397.41,2643,399.43,96
973,9,,748.83848,5825.32,99.5,0.69,6679.28,1113,12354.4,84
974,10,,647.08921,778.01,35.65,15.65,3830.26,1975,645.34,223
975,3,,327.64468,2398.25,80.16,0.7,4020.6,1840,2085.42,118
976,10,,159.18014,1320.27,530.27,0.41,7546.66,3847,4726.55,64
977,5,"2, 3",734.95906,112.64,58.86,3.38,446.81,6244,180.59,2128
978,1,7,672.56405,563.49,41.55,31.2,671.27,8001,155.54,437
979,5,7,795.41433,539.03,55.79,0.29,644.75,3411,553.45,486
980,7,4,355.95977,690.42,44.2,6.51,1395.15,1996,844.06,115
981,Отвратительно,,861.3449,728.55,119.85,1.15,1489.39,3102,445.06,675
982,7,"2, 3, 4",637.35811,7581.95,279.48,1.58,21997.16,1248,3834.07,56
983,3,"1, 3",429.76537,5835.91,74.66,0.37,10825.94,1125,2232.43,245
984,10,,342.52764,2247.95,107.97,3.76,2423.97,5254,1037.89,100
985,1,,219.79908,828,143.48,0.74,6792.33,1472,1289.57,59
986,1,3,462.62806,1969.1,73.47,2.74,3088.2,1878,1427.78,251
987,10,,803.14381,3263.28,188.32,0.78,5211.99,1396,1899.1,75
988,9,,264.41679,1795.97,43.84,0.39,16982.7,1103,3686.85,94
989,1,"1, 4, 7",165.38821,323.64,56.15,3.5,3294.79,2631,1464.38,150
990,5,"3, 4",777.07327,3459.22,67.08,4.53,2844.95,1691,1216.24,108
991,10,,181.12532,1014.12,116.34,2.03,2582.92,1678,3893.51,84
992,9,,456.06361,747.15,36.14,1.31,3220.37,1959,1647.38,99
993,8,,729.47076,2519.03,55.54,0.35,4227.15,2312,365.41,136
994,10,,316.55869,949.53,210.64,0.74,1052.17,2039,597.11,76
995,5,,279.56928,3632.24,404.66,1.15,20306,1108,2994.74,171
996,10,,280.18503,1693.89,492.55,11.69,5491.38,239,4507.23,87
997,8,,244.07043,746.39,102.79,0.98,5233.94,1415,211.74,296
998,10,,151.97285,551.72,85.35,1.11,2647.27,1395,1264.7,106
999,10,,367.51433,667.64,60.78,2.6,2016.58,2830,1204.78,137
1000,8,,356.32139,5473.02,230.66,0.29,6898.42,1487,4198.92,51
1001,4,3,105.24746,298.36,98.29,1.63,1086.72,971,420.68,155
1002,4,1,496.55412,238.68,116.41,4.64,1247.15,2941,1693.32,180
1003,5,,597.08029,829.05,48.18,1.84,2223.65,4746,1066.39,175
1004,10,,398.141,3681.11,970.84,0.14,17317.61,1113,2394.27,55
1005,1,4,189.56471,1086.94,16.92,2.43,1278.86,1434,1317.07,564
1006,10,,211.95869,359.02,267.49,1.53,2786.52,1808,987.28,565
1007,5,1,562.86249,4554.99,138.33,0.43,27692.22,1374,9767.68,161
1008,3,"3, 4",684.93616,1708.72,84.69,1.31,4612.65,1568,2006.58,163
1009,2,"3, 4",196.99754,1524.35,186.99,0.69,8377.59,1473,1544.44,85
1010,8,"4, 5",261.64275,1452.71,99,0.7,2905.56,1122,1038.95,236
1011,10,,510.46308,4660.32,397.99,0.33,4923.8,1160,2445.22,68
1012,9,,233.51438,974.68,99.54,1.02,4671.08,1591,2152.69,161
1013,10,,748.77264,383.1,60.35,0.85,4350.57,2094,2164.8,109
1014,10,,475.64355,3589.88,315.91,0.27,4981.29,1058,2949.64,56
1015,10,,794.90195,2298.65,287.8,1.72,3210.44,1937,1595.89,130
1016,8,,193.2878,795.38,33.29,2.91,1106.69,6750,628.75,47
1017,8,,293.34976,1631.45,129.87,2.21,11259.15,1043,3621.89,106
1018,9,,241.80879,125.58,23.44,3.12,224.74,2523,460.08,658
1019,4,,101.87792,295.97,62.45,1.25,2201.04,2533,1045.88,86
1020,2,"1, 2, 3",170.21759,2687.74,27.94,5.5,3401.52,1877,1171.71,86
1021,5,,425.43796,1643.31,144.49,0.52,2361.29,2118,842.07,207
1022,9,,854.52551,625.8,179.87,3.49,2127.92,1868,1366.54,240
1023,8,"4, 5",655.76657,910.38,160.51,0.47,1495.03,2508,807.74,216
1024,4,,747.63883,5355.72,129.81,0.44,9004.33,1104,4195.79,43
1025,5,,117.63656,417.43,22.85,1.3,6594.97,860,996.79,227
1026,1,"3, 4",128.82901,2266.35,131.7,0.99,5343.96,1454,1813.69,150
1027,7,"1, 4, 5",425.23708,229.88,62.31,2.56,3150.51,1597,970.03,249
1028,10,,789.80746,2564.71,87.31,1.2,4776.42,3223,1744.14,101
1029,10,,770.03082,1571.82,135.92,1.78,5179.36,2250,1763.22,79
1030,10,,418.80467,8947.55,30.47,0.11,10056.75,917,2123.16,61
1031,0,,253.40767,997.49,324.93,1.01,9173.99,1020,2117.98,65
1032,6,"1, 2, 3",492.68454,2049.42,218.05,1.95,2926.82,4319,5368.68,107
1033,9,,351.86302,2152.39,244.86,2.37,7554.83,1351,2720.68,48
1034,5,3,211.7548,3554.48,156.79,0.42,9620.14,1239,560.08,58
1035,10,,315.34206,9816.86,59.78,0.37,10848.98,1051,2117.1,70
1036,10,,130.55722,586.62,136.07,1.28,8187.63,1395,1731.92,64
1037,10,,385.59889,170.41,50.33,2.38,237.72,2032,303.18,942
1038,8,3,500.10761,2138.31,299.04,2.05,5714.96,1829,1582.13,111
1039,10,,213.96294,955.13,33.81,1.19,1578.43,2637,6434.98,93
1040,9,,376.45757,6663.84,3283.33,0.35,10187.71,1031,3003.61,42
1041,8,"5, 6",709.50156,7083.3,114.81,0.32,12152.42,1052,2443.59,67
1042,10,,842.83767,1981.08,108.72,1.95,2943.76,2022,788.86,224
1043,10,,540.0045,8229.86,221.14,1.58,5288.49,1337,2114.78,141
1044,1,,464.46078,562.19,270.62,1.44,2034.55,6020,2024.84,177
1045,9,,524.52823,1017.26,45.64,2.64,5334.97,1965,1273.36,119
1046,2,"3, 4, 5",560.68898,877.65,149.53,4.39,1327.88,4171,791.75,125
1047,7,4,222.77443,979.6,160.12,2.06,5716.83,1116,1656.23,111
1048,10,,128.1142,256.62,83.15,2.32,2376.77,886,1483.35,114
1049,10,,220.6386,754.59,832.76,1.46,2382.88,1920,505.25,395
1050,1,,510.5314,2006.16,88.01,2.72,4057.8,1446,1020.44,169
1051,10,,368.24575,7886,80.52,0.78,9214.26,755,1032.16,99
1052,4,,802.08311,4829.6,380.09,0.67,8818.13,1216,2827.8,84
1053,7,3,426.32157,497.74,161.12,2.3,1361.59,2504,1074.41,162
1054,8,"3, 4, 5",138.07083,485.12,57.14,1.54,3058.71,2020,1328.54,717
1055,5,"2, 3, 4",343.48968,463.09,159.5,1.41,7023.35,1743,2604.78,80
1056,10,,443.30689,5379.02,279.91,0.35,7503.81,1211,8012.81,64
1057,1,3,354.257,567.71,248.8,1.19,1912.32,4228,2144.58,79
1058,10,,518.71502,731.14,45.24,0.58,12154.05,1291,7362.22,77
1059,9,,348.61062,848.71,50.69,2.16,2958.33,1895,1125.2,166
1060,3,4,359.88913,686.35,84.79,2.81,2875.13,3663,403.5,198
1061,6,,654.83791,552.58,46.39,2.58,3630.39,1859,1584.69,292
1062,10,,635.57991,5910.34,194.67,0.3,9486.85,1231,2748.77,79
1063,3,"1, 3",746.41632,2118.97,260.14,1.19,4958.87,1417,1020.94,156
1064,2,"1, 2, 3",762.98267,4292.71,317.96,0.78,10397.11,1328,3714.09,76
1065,1,"1, 3, 4, 5",158.90235,227.9,100.68,1.6,467.52,1839,132.68,700
1066,8,"1, 3, 4",393.50193,8725,579.36,1.27,10221.59,1751,2144.76,138
1067,4,"1, 4, 5",536.28172,4428.66,49.13,1.91,5914.96,934,4206.16,100
1068,3,"1, 3",376.0853,294.48,153.37,1.29,775.45,4631,673.49,517
1069,5,1,585.87051,5991.69,312.49,3.07,18181.6,1183,4490.16,50
1070,10,,329.94578,5504.55,181.56,0.64,6144.39,3131,8966.53,111
1071,2,,159.30774,3226.16,133.76,2.08,17190.02,1082,812.62,345
1072,3,"1, 3, 4",404.62526,5157.5,165.22,0.38,4497.62,1265,2626.91,66
1073,10,,665.06819,4070.19,200.19,1.65,7860.25,1397,1940.09,89
1074,10,,423.06845,825.05,105.54,1.65,1975.85,1777,2493.02,54
1075,3,4,349.67214,151.42,21.56,1.91,441.25,1740,376.17,419
1076,10,,372.40915,2533.1,106.49,2.79,3210.37,1792,778.94,472
1077,10,,591.82631,1418.2,285.53,0.46,9150.55,1499,1688.49,69
1078,7,3,468.45928,6915.79,151.78,0.83,9176.12,987,1635.28,58
1079,1,,287.18635,1451.48,30.22,0.36,1709.73,2728,659.03,383
1080,1,,833.53726,3508.64,236.08,1.42,4226.33,1786,4134.06,49
1081,10,,298.94846,2199.96,203.83,2.39,9221.52,2874,2182.01,86
1082,1,"4, 5",259.26344,2149.12,103.01,0.53,10445.64,1539,2442.88,78
1083,9,,320.63366,716.84,142.81,2.41,2646.57,2392,826.28,88
1084,10,,394.99756,1887.23,49.93,1.78,2136.51,2320,1302.46,524
1085,9,,135.35232,1892.02,152.71,0.9,5633.67,1577,2783.42,64
1086,10,,759.40273,1804.9,177.36,2.79,4815.6,2555,20618.62,83
1087,8,,119.50191,2132.64,125.19,2.23,2966.23,2716,2394.49,76
1088,7,,512.57661,1122.93,38.82,2.86,1705.71,2733,830.65,251
1089,8,"3, 4",214.6195,2512.63,185.03,0.95,6699.8,1707,1286.97,129
1090,10,,291.87913,898.2,316.45,1.15,2179.08,7565,2813.25,226
1091,10,,746.7397,3019.46,244.45,1.01,7546.92,1361,2828.85,77
1092,9,,290.12142,1996.74,641.47,3.88,1815.84,938,966.47,166
1093,10,,129.39378,3187.75,118.99,0.22,9308.68,1161,2690.61,73
1094,10,,747.75533,6872.78,127.36,1.74,9160.54,1161,2078.38,102
1095,5,,340.96337,3962.07,145.81,0.3,5269.72,1423,3531.69,47
1096,10,,351.61493,1955.64,65.29,0.82,3801.81,2294,1195.04,86
1097,10,,288.78294,5936.41,180.15,0.69,4342.12,943,425.85,119
1098,2,1,222.37639,1423.66,235.72,0.52,2348.41,2773,839.06,297
1099,3,"3, 4, 5",186.19035,284.53,51.78,2.53,557.68,6160,398.68,1463
1100,9,,383.39091,6868.56,59.13,0.11,7165.59,1531,7651.87,71
1101,10,,429.81179,306.13,25.16,4.71,2533.26,2563,1265.33,159
1102,10,,262.43022,403.33,36.09,8.03,1089.93,2196,532.19,359
1103,10,,249.94137,94,18.26,2.08,268,4534,117.9,2982
1104,10,,331.47876,2318.58,110.97,0.42,13072.01,889,9798.29,50
1105,4,,716.92959,5272.99,274.92,0.26,9023.23,1254,2492.75,135
1106,10,,358.88292,1535.09,71.8,0.86,4847,1315,881.72,79
1107,6,"3, 4",548.36244,3289.73,36.42,4.05,4570.31,1473,4100.72,68
1108,1,"3, 4",169.98832,177.4,105.16,1.69,3071.08,1474,929.81,214
1109,1,"3, 4",314.30245,1111.46,79.56,2.44,2135.78,2822,870.27,139
1110,8,6,701.88129,3916.2,102.37,0.22,11586.66,1453,1319.9,296
1111,5,,856.52125,535.06,31.92,1.74,1224.66,4320,716.64,346
1112,7,4,191.29585,1132.16,239.17,3.03,465.96,10518,1099.08,156
1113,1,1,519.8208,1124.76,107.46,2.47,5448.69,1866,1883.87,201
1114,1,,278.87533,340.52,43.66,5.72,2740.31,4603,979.84,437
1115,2,"1, 4",182.20476,1216.75,64.49,3.59,10458.66,1102,8098.69,55
1116,10,,428.96185,2853.51,278.36,0.85,9186.32,1306,1685.65,65
1117,0,,442.23833,3278.04,57.45,0.73,3411.84,2068,1364.06,81
1118,9,,520.07081,2386.44,169.13,0.82,3135.27,1506,1870.84,136
1119,3,3,313.21809,701.34,95.43,0.83,2555.82,1591,1777.76,249
1120,8,,265.59959,176.46,30.29,0.44,5016.87,1069,2585.5,61
1121,1,,440.96811,608.49,93.16,1.34,1368.62,5871,682.72,231
1122,2,"3, 4",488.21873,240.96,32.98,3.22,605.75,3575,377.34,671
1123,1,1,118.98162,1888.01,184.8,0.84,9995.6,1001,3903.88,171
1124,10,,464.28442,1726.71,130.82,1.25,6578.35,1676,2874.29,301
1125,8,4,406.93198,3936.96,664.82,0.67,5740.81,1186,1291.65,97
1126,8,4,209.30937,3798.32,240.48,0.64,10601.91,1245,3125,64
1127,10,,675.43699,5470.05,348.54,0.34,15016.72,1166,3929.55,111
1128,9,,331.13858,341.53,35.83,1.78,1795.88,1588,677.05,132
1129,1,,644.88994,4147.11,82.27,0.75,15864.87,1445,2377.45,60
1130,10,,150.62624,6439.82,33.08,1.84,17102.7,768,1845.82,54
1131,1,,277.55334,348.53,218.58,1.18,2489.4,1330,2240.25,181
1132,1,,651.80597,1118.91,218.16,1.3,6791.32,1492,3389.25,85
1133,10,,331.21763,760.13,50.26,2.12,3294.64,1775,993.06,64
1134,0,,359.66875,3578.95,58.31,2.34,5634.1,1066,1745.89,87
1135,8,,207.30916,2822.71,975.56,1.49,11074.36,1877,1285.63,171
1136,9,,583.83851,4164.35,226.26,1.27,6929.7,1323,2815.45,44
1137,3,4,368.10889,1482.95,155.3,0.43,6226.11,1558,1069.71,184
1138,8,6,325.81003,2304.07,247.16,0.34,3713.95,1568,1200.78,119
1139,10,,190.28529,3009.42,155.09,0.62,5362.5,1274,1701.43,62
